equation_id,equation_form,equation_allometry,dependent_variable_biomass_component,independent_variable,allometry_specificity,geographic_area,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,original_data_availability,warning,ref_id
2060ea,10^(a+b*(log10(DBH^c))),10^(1.1891+1.419*(log10(dbh^2))),Total aboveground biomass,DBH,Species,"Ohio, USA",0.21,5.73,NA,cm,g,harvest,NA,NA,NA,1,1.056,NA,NA,NA,NA
a4d879,10^(a+b*(log10(DBH^c))),10^(1.2315+1.6376*(log10(dbh^2))),Total aboveground biomass,DBH,Species,"Ohio, USA",0.19,3.86,NA,cm,g,harvest,NA,NA,NA,1,1.016,NA,NA,NA,NA
c59e03,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),Stem biomass (with bark),DBH,Genus,"Tennessee, USA",8.9,25.4,NA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA
96c0af,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),"Branches (live, dead)",DBH,Genus,"Minessota, USA",5,45,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA
529234,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),Foliage total,DBH,Genus,"Minessota, USA",5,45,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA
ae65ed,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),Total aboveground biomass,DBH,Mixed hardwood,North America,2.5,56,NA,cm,kg,harvest,NA,NA,NA,1,0.36,NA,NA,NA,NA
9c4cc9,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),Total aboveground biomass,DBH,Genus,"North Carolina, USA",8.2,52.3,10,cm,kg,harvest,linear,NA,1,1,1.005,NA,NA,NA,NA
7913b8,a*(DBH^b),2.034*(dbh^2.6349),Stem and branches (live),DBH,Species,"West Virginia, USA",5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,0,NA,NA,NA,NA
7f7777,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),Total aboveground biomass,DBH,Family,North America,4,42,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA
cf733d,exp(a+b*DBH+c*(ln(DBH))),exp(5.67+1.97*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,"Ohio, USA",1.85,7.25,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA
